Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
513	1.52625	4.54647E+16
514	1.49125	4.58504E+16
515	1.525	4.62455E+16
516	1.50375	4.66359E+16
517	1.3175	4.69785E+16
518	1.41125	4.73463E+16
519	1.4125	4.77151E+16
520	1.505	4.81089E+16
521	1.5325	4.85106E+16
522	1.545	4.89163E+16
523	1.49625	4.931E+16
524	1.5725	4.97245E+16
525	1.5675	5.01386E+16
526	1.51125	5.05385E+16
527	1.3875	5.09064E+16
528	1.515	5.13088E+16
529	1.58375	5.17303E+16
530	1.5575	5.21456E+16
531	1.6075	5.2575E+16
532	1.58	5.29979E+16
533	1.45625	5.33884E+16
534	1.51875	5.37964E+16
535	1.55625	5.42153E+16
536	1.595	5.46454E+16
537	1.51625	5.50551E+16
538	1.555	5.5476E+16
539	1.52875	5.58905E+16
540	1.47875	5.62922E+16
541	1.44375	5.66852E+16
542	1.53	5.71024E+16
543	1.53	5.75204E+16
544	1.56	5.79473E+16
545	1.54125	5.83699E+16
546	1.525	5.87888E+16
547	1.5325	5.92106E+16
548	1.51125	5.96272E+16
549	1.5425	6.00533E+16
550	1.54	6.04794E+16
551	1.53625	6.09052E+16
552	1.55875	6.13381E+16
553	1.53	6.17638E+16
554	1.5475	6.21951E+16
555	1.555	6.26293E+16
556	1.52875	6.30569E+16
557	1.5	6.34773E+16
558	1.51375	6.39022E+16
559	1.455	6.43114E+16
560	1.4775	6.47277E+16
561	1.53875	6.5162E+16
562	1.4975	6.55854E+16
563	1.52875	6.60184E+16
564	1.515	6.64483E+16
565	1.5075	6.68768E+16
566	1.45375	6.72908E+16
567	1.515	6.77229E+16
568	1.50875	6.81541E+16
569	1.48375	6.85788E+16
570	1.47375	6.90014E+16
571	1.44625	6.94169E+16
572	1.50125	6.98489E+16
573	1.5175	7.02864E+16
574	1.50625	7.07213E+16
575	1.47375	7.11477E+16
576	1.46625	7.15726E+16
577	1.48875	7.20047E+16
578	1.45875	7.24289E+16
579	1.47125	7.28575E+16
580	1.49625	7.32941E+16
581	1.50375	7.37337E+16
582	1.5275	7.41809E+16
583	1.53875	7.46322E+16
584	1.53875	7.50843E+16
585	1.52625	7.55335E+16
586	1.49875	7.59754E+16
587	1.5125	7.64221E+16
588	1.46875	7.68566E+16
589	1.325	7.72492E+16
590	1.37125	7.76562E+16
591	1.445	7.80859E+16
592	1.43625	7.85136E+16
593	1.44625	7.89451E+16
594	1.44	7.93754E+16
595	1.43625	7.98054E+16
596	1.465	8.02446E+16
597	1.46875	8.06858E+16
598	1.46125	8.11254E+16
599	1.46125	8.15658E+16
600	1.46625	8.20084E+16
601	1.45	8.24468E+16
602	1.43625	8.28818E+16
603	1.46	8.33247E+16
604	1.48625	8.37763E+16
605	1.48875	8.42295E+16
606	1.4825	8.46815E+16
607	1.4875	8.51357E+16
608	1.48	8.55884E+16
609	1.47	8.60388E+16
610	1.46125	8.64873E+16
611	1.4625	8.69368E+16
612	1.475	8.7391E+16
613	1.45625	8.78401E+16
614	1.42375	8.82799E+16
615	1.4575	8.87308E+16
616	1.4325	8.91748E+16
617	1.41875	8.96152E+16
618	1.455	9.00676E+16
619	1.46875	9.0525E+16
620	1.47125	9.09839E+16
621	1.47125	9.14435E+16
622	1.42625	9.18899E+16
623	1.41125	9.23322E+16
624	1.40875	9.27744E+16
625	1.40125	9.32151E+16
626	1.405	9.36575E+16
627	1.425	9.41071E+16
628	1.37625	9.45419E+16
629	1.40125	9.49853E+16
630	1.395	9.54275E+16
631	1.40125	9.58723E+16
632	1.3775	9.63103E+16
633	1.435	9.67673E+16
634	1.42625	9.72222E+16
635	1.43375	9.76802E+16
636	1.42	9.81346E+16
637	1.455	9.86009E+16
638	1.4675	9.90719E+16
639	1.4575	9.95405E+16
640	1.43375	1.00002E+17
641	1.43	1.00463E+17
642	1.4325	1.00926E+17
643	1.44625	1.01394E+17
644	1.4425	1.01861E+17
645	1.44375	1.0233E+17
646	1.41375	1.02789E+17
647	1.4	1.03245E+17
648	1.38625	1.03697E+17
649	1.35625	1.0414E+17
650	1.36875	1.04587E+17
651	1.4225	1.05053E+17
652	1.39375	1.0551E+17
653	1.42125	1.05977E+17
654	1.405	1.0644E+17
655	1.33625	1.0688E+17
656	1.20875	1.07279E+17
657	1.25	1.07692E+17
658	1.36375	1.08143E+17
659	1.39	1.08604E+17
660	1.3975	1.09068E+17
661	1.39	1.09531E+17
662	1.38125	1.09991E+17
663	1.38125	1.10451E+17
664	1.3925	1.10916E+17
665	1.41625	1.1139E+17
666	1.41875	1.11866E+17
667	1.41125	1.12339E+17
668	1.41375	1.12814E+17
669	1.43375	1.13297E+17
670	1.42125	1.13776E+17
671	1.40875	1.14252E+17
672	1.395	1.14723E+17
673	1.40625	1.15199E+17
674	1.4	1.15674E+17
675	1.39375	1.16147E+17
676	1.40625	1.16626E+17
677	1.40125	1.17103E+17
678	1.39875	1.1758E+17
679	1.39125	1.18055E+17
680	1.39	1.18531E+17
681	1.39	1.19007E+17
682	1.38875	1.19483E+17
683	1.38	1.19958E+17
684	1.37125	1.2043E+17
685	1.36625	1.209E+17
686	1.296875	1.21348E+17
687	1.03125	1.21704E+17
688	1.100625	1.22085E+17
689	1.1275	1.22476E+17
690	1.17875	1.22885E+17
691	1.22875	1.23313E+17
692	1.26375	1.23753E+17
693	1.25875	1.24191E+17
694	1.24625	1.24627E+17
695	1.265	1.25069E+17
696	1.27125	1.25514E+17
697	1.3275	1.25979E+17
698	1.31875	1.26443E+17
699	1.2925	1.26897E+17
700	1.27875	1.27347E+17
701	1.2625	1.27793E+17
702	1.26125	1.28238E+17
703	1.2725	1.28688E+17
704	1.29875	1.29148E+17
705	1.31625	1.29615E+17
706	1.31125	1.30081E+17
707	1.30875	1.30546E+17
708	1.3025	1.3101E+17
709	1.30875	1.31477E+17
710	1.31	1.31945E+17
711	1.30875	1.32413E+17
712	1.3	1.32879E+17
713	1.2925	1.33342E+17
714	1.29375	1.33807E+17
715	1.26625	1.34263E+17
716	1.2475	1.34712E+17
717	1.1125	1.35113E+17
718	1.025125	1.35484E+17
719	0.942375	1.35825E+17
720	0.987375	1.36182E+17
721	1.087875	1.36577E+17
722	1.2075	1.37015E+17
723	1.14125	1.37431E+17
724	1.06	1.37817E+17
725	1.04625	1.38198E+17
726	1.075	1.38591E+17
727	1.075	1.38984E+17
728	1.045	1.39367E+17
729	1.05125	1.39752E+17
730	1.11125	1.40161E+17
731	1.0875	1.4056E+17
732	1.145	1.40982E+17
733	1.19	1.41421E+17
734	1.2225	1.41872E+17
735	1.21125	1.4232E+17
736	1.20125	1.42765E+17
737	1.2025	1.43211E+17
738	1.21375	1.43662E+17
739	1.1975	1.44107E+17
740	1.215	1.44559E+17
741	1.21125	1.45011E+17
742	1.21375	1.45464E+17
743	1.2375	1.45926E+17
744	1.24875	1.46394E+17
745	1.24875	1.46862E+17
746	1.24125	1.47328E+17
747	1.24	1.47794E+17
748	1.23875	1.4826E+17
749	1.23125	1.48724E+17
750	1.23	1.49188E+17
751	1.23	1.49653E+17
752	1.22875	1.50118E+17
753	1.22375	1.50581E+17
754	1.23625	1.5105E+17
755	1.23	1.51517E+17
756	1.22125	1.51982E+17
757	1.22125	1.52447E+17
758	1.22375	1.52914E+17
759	1.079375	1.53326E+17
760	0.36675	1.53466E+17
761	0.234375	1.53556E+17
762	0.581	1.53778E+17
763	0.436375	1.53946E+17
764	0.5355	1.54152E+17
765	0.681625	1.54414E+17
766	0.815875	1.54729E+17
767	0.9685	1.55102E+17
768	1.093875	1.55525E+17
769	1.12375	1.5596E+17
770	1.15625	1.56408E+17
771	1.16875	1.56861E+17
772	1.17	1.57315E+17
773	1.17	1.5777E+17
774	1.17	1.58226E+17
775	1.17125	1.58683E+17
776	1.1775	1.59142E+17
777	1.17125	1.596E+17
778	1.17	1.60058E+17
779	1.16875	1.60516E+17
780	1.16125	1.60972E+17
781	1.16	1.61428E+17
782	1.16	1.61884E+17
783	1.15875	1.62341E+17
784	1.1525	1.62795E+17
785	1.15875	1.63253E+17
786	1.1575	1.6371E+17
787	1.14125	1.64162E+17
788	1.13	1.6461E+17
789	1.1175	1.65054E+17
790	1.095	1.65489E+17
791	1.0975	1.65926E+17
792	1.09	1.6636E+17
793	1.0825	1.66792E+17
794	1.08875	1.67227E+17
795	1.0875	1.67662E+17
796	1.075	1.68092E+17
797	1.09	1.6853E+17
798	1.105	1.68973E+17
799	1.09	1.69411E+17
800	1.07375	1.69843E+17
801	1.07875	1.70278E+17
802	1.0775	1.70713E+17
803	1.065	1.71143E+17
804	1.07375	1.71578E+17
805	1.05875	1.72006E+17
806	1.08375	1.72446E+17
807	1.08125	1.72885E+17
808	1.07625	1.73322E+17
809	1.05375	1.73751E+17
810	1.05	1.74179E+17
811	1.04625	1.74606E+17
812	1.0225	1.75024E+17
813	0.997625	1.75432E+17
814	0.913625	1.75806E+17
815	0.886125	1.76169E+17
816	0.84025	1.76514E+17
817	0.843	1.76861E+17
818	0.834	1.77204E+17
819	0.887125	1.77569E+17
820	0.8815	1.77933E+17
821	0.97225	1.78335E+17
822	0.92	1.78715E+17
823	0.738375	1.79021E+17
824	0.90375	1.79395E+17
825	0.958125	1.79793E+17
826	0.941875	1.80185E+17
827	0.95875	1.80583E+17
828	0.873875	1.80947E+17
829	0.91525	1.81329E+17
830	0.91575	1.81712E+17
831	0.916375	1.82095E+17
832	0.903375	1.82473E+17
833	0.943375	1.82868E+17
834	0.9425	1.83264E+17
835	0.987625	1.83679E+17
836	0.97875	1.8409E+17
837	1.00325	1.84513E+17
838	0.998	1.84933E+17
839	0.99925	1.85355E+17
840	1.0085	1.85781E+17
841	1.008	1.86208E+17
842	0.99675	1.8663E+17
843	0.997125	1.87053E+17
844	0.9885	1.87473E+17
845	1.007875	1.87901E+17
846	1.014875	1.88333E+17
847	0.992875	1.88756E+17
848	0.98825	1.89178E+17
849	0.97225	1.89593E+17
850	0.912625	1.89983E+17
851	0.96125	1.90395E+17
852	0.967	1.90809E+17
853	0.9485	1.91217E+17
854	0.87075	1.91591E+17
855	0.909875	1.91982E+17
856	0.964875	1.92398E+17
857	0.986625	1.92823E+17
858	0.989	1.9325E+17
859	0.9885	1.93677E+17
860	0.985375	1.94103E+17
861	0.985125	1.9453E+17
862	0.99175	1.9496E+17
863	0.9945	1.95392E+17
864	0.97675	1.95817E+17
865	0.947875	1.96229E+17
866	0.869375	1.96608E+17
867	0.910125	1.97005E+17
868	0.9495	1.97419E+17
869	0.950375	1.97835E+17
870	0.961	1.98256E+17
871	0.954375	1.98674E+17
872	0.961125	1.99095E+17
873	0.95325	1.99514E+17
874	0.93825	1.99927E+17
875	0.929	2.00336E+17
876	0.947125	2.00753E+17
877	0.95225	2.01173E+17
878	0.948375	2.01592E+17
879	0.936375	2.02006E+17
880	0.93275	2.02419E+17
881	0.912875	2.02824E+17
882	0.926625	2.03235E+17
883	0.92775	2.03647E+17
884	0.931125	2.04061E+17
885	0.935875	2.04478E+17
886	0.91	2.04884E+17
887	0.909125	2.05289E+17
888	0.92	2.057E+17
889	0.929125	2.06116E+17
890	0.922625	2.06529E+17
891	0.920625	2.06942E+17
892	0.90375	2.07347E+17
893	0.872625	2.07739E+17
894	0.847	2.0812E+17
895	0.809375	2.08485E+17
896	0.754375	2.08825E+17
897	0.6825	2.09133E+17
898	0.688375	2.09444E+17
899	0.59225	2.09712E+17
900	0.698125	2.10028E+17
901	0.62425	2.10311E+17
902	0.660125	2.1061E+17
903	0.70375	2.1093E+17
904	0.81925	2.11302E+17
905	0.813125	2.11673E+17
906	0.76125	2.1202E+17
907	0.655625	2.12319E+17
908	0.654875	2.12618E+17
909	0.685625	2.12932E+17
910	0.63825	2.13224E+17
911	0.66325	2.13528E+17
912	0.676875	2.13838E+17
913	0.63425	2.1413E+17
914	0.631625	2.1442E+17
915	0.657	2.14723E+17
916	0.60675	2.15002E+17
917	0.69175	2.15321E+17
918	0.626375	2.15611E+17
919	0.719375	2.15943E+17
920	0.745875	2.16288E+17
921	0.7635	2.16642E+17
922	0.713625	2.16973E+17
923	0.734375	2.17314E+17
924	0.72075	2.17649E+17
925	0.70925	2.17979E+17
926	0.7125	2.18311E+17
927	0.749875	2.18661E+17
928	0.607875	2.18945E+17
929	0.539875	2.19197E+17
930	0.443	2.19404E+17
931	0.397375	2.1959E+17
932	0.307	2.19734E+17
933	0.241375	2.19848E+17
934	0.1695	2.19927E+17
935	0.2255	2.20033E+17
936	0.172375	2.20115E+17
937	0.167375	2.20194E+17
938	0.220125	2.20297E+17
939	0.38225	2.20478E+17
940	0.448625	2.2069E+17
941	0.3875	2.20874E+17
942	0.384125	2.21056E+17
943	0.294625	2.21195E+17
944	0.294375	2.21335E+17
945	0.335125	2.21495E+17
946	0.237625	2.21608E+17
947	0.335875	2.21768E+17
948	0.312625	2.21917E+17
949	0.42225	2.22118E+17
950	0.232125	2.22229E+17
951	0.413375	2.22427E+17
952	0.304125	2.22573E+17
953	0.343625	2.22738E+17
954	0.402625	2.22931E+17
955	0.34875	2.23098E+17
956	0.3215	2.23253E+17
957	0.300875	2.23398E+17
958	0.425375	2.23603E+17
959	0.389625	2.23791E+17
960	0.418375	2.23993E+17
961	0.4525	2.24212E+17
962	0.45125	2.2443E+17
963	0.49025	2.24668E+17
964	0.4685	2.24895E+17
965	0.49625	2.25136E+17
966	0.501125	2.25379E+17
967	0.519625	2.25632E+17
968	0.635625	2.25942E+17
969	0.673375	2.2627E+17
970	0.64925	2.26587E+17
971	0.698875	2.26928E+17
972	0.679125	2.2726E+17
973	0.61125	2.27559E+17
974	0.579625	2.27843E+17
975	0.584	2.2813E+17
976	0.580625	2.28415E+17
977	0.625625	2.28723E+17
978	0.618875	2.29027E+17
979	0.629	2.29337E+17
980	0.620625	2.29643E+17
981	0.694875	2.29986E+17
982	0.68975	2.30327E+17
983	0.678375	2.30662E+17
984	0.720375	2.31019E+17
985	0.7	2.31366E+17
986	0.739625	2.31732E+17
987	0.738	2.32099E+17
988	0.73525	2.32464E+17
989	0.743125	2.32834E+17
990	0.73475	2.332E+17
991	0.748125	2.33573E+17
992	0.7475	2.33946E+17
993	0.738875	2.34315E+17
994	0.749625	2.3469E+17
995	0.749875	2.35066E+17
996	0.74625	2.35439E+17
997	0.739	2.3581E+17
998	0.737	2.3618E+17
999	0.73575	2.3655E+17
1000	0.7345	2.36919E+17
1001	0.738875	2.37292E+17
1002	0.72875	2.37659E+17
1003	0.729875	2.38027E+17
1004	0.71725	2.3839E+17
1005	0.689	2.38738E+17
1006	0.708875	2.39097E+17
1007	0.72325	2.39463E+17
1008	0.724125	2.3983E+17
1009	0.71875	2.40195E+17
1010	0.717625	2.4056E+17
1011	0.72	2.40926E+17
1012	0.717375	2.41291E+17
1013	0.7165	2.41656E+17
1014	0.717	2.42022E+17
1015	0.708	2.42384E+17
1016	0.707625	2.42745E+17
1017	0.703375	2.43105E+17
1018	0.7075	2.43468E+17
1019	0.691375	2.43822E+17
1020	0.696125	2.44179E+17
